model_id,model_type,params,threshold,random_state,min_samples_split,criterion,max_features,max_depth,roc_auc_avg,roc_auc_std,accuracy_avg,accuracy_std,precision_avg,precision_std,recall_avg,recall_std
DT_paramset-4,DT,"{'random_state': 1, 'min_samples_split': 2, 'criterion': 'gini', 'max_features': 'log2', 'max_depth': 1}",0.9,1,2,gini,log2,1,0.509661835749,0.0136638991534,0.518892651476,0.000135282247831,0.0,0.0,0.0,0.0
DT_paramset-5,DT,"{'random_state': 1, 'min_samples_split': 5, 'criterion': 'gini', 'max_features': 'log2', 'max_depth': 1}",0.5,1,5,gini,log2,1,0.509661835749,0.0136638991534,0.518892651476,0.000135282247831,0.0,0.0,0.0,0.0
DT_paramset-5,DT,"{'random_state': 1, 'min_samples_split': 5, 'criterion': 'gini', 'max_features': 'log2', 'max_depth': 1}",0.6,1,5,gini,log2,1,0.509661835749,0.0136638991534,0.518892651476,0.000135282247831,0.0,0.0,0.0,0.0
DT_paramset-5,DT,"{'random_state': 1, 'min_samples_split': 5, 'criterion': 'gini', 'max_features': 'log2', 'max_depth': 1}",0.7,1,5,gini,log2,1,0.509661835749,0.0136638991534,0.518892651476,0.000135282247831,0.0,0.0,0.0,0.0
DT_paramset-5,DT,"{'random_state': 1, 'min_samples_split': 5, 'criterion': 'gini', 'max_features': 'log2', 'max_depth': 1}",0.8,1,5,gini,log2,1,0.509661835749,0.0136638991534,0.518892651476,0.000135282247831,0.0,0.0,0.0,0.0
DT_paramset-5,DT,"{'random_state': 1, 'min_samples_split': 5, 'criterion': 'gini', 'max_features': 'log2', 'max_depth': 1}",0.9,1,5,gini,log2,1,0.509661835749,0.0136638991534,0.518892651476,0.000135282247831,0.0,0.0,0.0,0.0
DT_paramset-6,DT,"{'random_state': 1, 'min_samples_split': 10, 'criterion': 'gini', 'max_features': 'log2', 'max_depth': 1}",0.5,1,10,gini,log2,1,0.509661835749,0.0136638991534,0.518892651476,0.000135282247831,0.0,0.0,0.0,0.0
DT_paramset-6,DT,"{'random_state': 1, 'min_samples_split': 10, 'criterion': 'gini', 'max_features': 'log2', 'max_depth': 1}",0.6,1,10,gini,log2,1,0.509661835749,0.0136638991534,0.518892651476,0.000135282247831,0.0,0.0,0.0,0.0
DT_paramset-6,DT,"{'random_state': 1, 'min_samples_split': 10, 'criterion': 'gini', 'max_features': 'log2', 'max_depth': 1}",0.7,1,10,gini,log2,1,0.509661835749,0.0136638991534,0.518892651476,0.000135282247831,0.0,0.0,0.0,0.0
DT_paramset-6,DT,"{'random_state': 1, 'min_samples_split': 10, 'criterion': 'gini', 'max_features': 'log2', 'max_depth': 1}",0.8,1,10,gini,log2,1,0.509661835749,0.0136638991534,0.518892651476,0.000135282247831,0.0,0.0,0.0,0.0
DT_paramset-6,DT,"{'random_state': 1, 'min_samples_split': 10, 'criterion': 'gini', 'max_features': 'log2', 'max_depth': 1}",0.9,1,10,gini,log2,1,0.509661835749,0.0136638991534,0.518892651476,0.000135282247831,0.0,0.0,0.0,0.0
DT_paramset-7,DT,"{'random_state': 1, 'min_samples_split': 2, 'criterion': 'gini', 'max_features': 'sqrt', 'max_depth': 2}",0.5,1,2,gini,sqrt,2,0.428148976982,0.0779052289335,0.430369817674,0.0843974065273,0.391666666667,0.307092096211,0.296875,0.355618958648
DT_paramset-7,DT,"{'random_state': 1, 'min_samples_split': 2, 'criterion': 'gini', 'max_features': 'sqrt', 'max_depth': 2}",0.6,1,2,gini,sqrt,2,0.428148976982,0.0779052289335,0.477988865293,0.0847958669036,0.583333333333,0.424918292799,0.0364583333333,0.0410104576771
DT_paramset-7,DT,"{'random_state': 1, 'min_samples_split': 2, 'criterion': 'gini', 'max_features': 'sqrt', 'max_depth': 2}",0.7,1,2,gini,sqrt,2,0.428148976982,0.0779052289335,0.477988865293,0.0847958669036,0.583333333333,0.424918292799,0.0364583333333,0.0410104576771
DT_paramset-7,DT,"{'random_state': 1, 'min_samples_split': 2, 'criterion': 'gini', 'max_features': 'sqrt', 'max_depth': 2}",0.8,1,2,gini,sqrt,2,0.428148976982,0.0779052289335,0.477988865293,0.0847958669036,0.583333333333,0.424918292799,0.0364583333333,0.0410104576771
DT_paramset-7,DT,"{'random_state': 1, 'min_samples_split': 2, 'criterion': 'gini', 'max_features': 'sqrt', 'max_depth': 2}",0.9,1,2,gini,sqrt,2,0.428148976982,0.0779052289335,0.470470068301,0.0789777762836,0.666666666667,0.471404520791,0.0104166666667,0.00736569563736
DT_paramset-8,DT,"{'random_state': 1, 'min_samples_split': 5, 'criterion': 'gini', 'max_features': 'sqrt', 'max_depth': 2}",0.5,1,5,gini,sqrt,2,0.428148976982,0.0779052289335,0.430369817674,0.0843974065273,0.391666666667,0.307092096211,0.296875,0.355618958648
DT_paramset-8,DT,"{'random_state': 1, 'min_samples_split': 5, 'criterion': 'gini', 'max_features': 'sqrt', 'max_depth': 2}",0.6,1,5,gini,sqrt,2,0.428148976982,0.0779052289335,0.477988865293,0.0847958669036,0.583333333333,0.424918292799,0.0364583333333,0.0410104576771
DT_paramset-8,DT,"{'random_state': 1, 'min_samples_split': 5, 'criterion': 'gini', 'max_features': 'sqrt', 'max_depth': 2}",0.7,1,5,gini,sqrt,2,0.428148976982,0.0779052289335,0.477988865293,0.0847958669036,0.583333333333,0.424918292799,0.0364583333333,0.0410104576771
DT_paramset-8,DT,"{'random_state': 1, 'min_samples_split': 5, 'criterion': 'gini', 'max_features': 'sqrt', 'max_depth': 2}",0.8,1,5,gini,sqrt,2,0.428148976982,0.0779052289335,0.477988865293,0.0847958669036,0.583333333333,0.424918292799,0.0364583333333,0.0410104576771
DT_paramset-8,DT,"{'random_state': 1, 'min_samples_split': 5, 'criterion': 'gini', 'max_features': 'sqrt', 'max_depth': 2}",0.9,1,5,gini,sqrt,2,0.428148976982,0.0779052289335,0.470470068301,0.0789777762836,0.666666666667,0.471404520791,0.0104166666667,0.00736569563736
DT_paramset-9,DT,"{'random_state': 1, 'min_samples_split': 10, 'criterion': 'gini', 'max_features': 'sqrt', 'max_depth': 2}",0.5,1,10,gini,sqrt,2,0.428148976982,0.0779052289335,0.430369817674,0.0843974065273,0.391666666667,0.307092096211,0.296875,0.355618958648
DT_paramset-9,DT,"{'random_state': 1, 'min_samples_split': 10, 'criterion': 'gini', 'max_features': 'sqrt', 'max_depth': 2}",0.6,1,10,gini,sqrt,2,0.428148976982,0.0779052289335,0.477988865293,0.0847958669036,0.583333333333,0.424918292799,0.0364583333333,0.0410104576771
