model_id,model_type,params,split,threshold,roc_auc,accuracy,precision,recall
RF_paramset-2,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_features': 'sqrt', 'n_estimators': 10, 'max_depth': 10}",3,0.7,0.921568627451,0.709923664122,0.878787878788,0.460317460317
RF_paramset-2,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_features': 'sqrt', 'n_estimators': 10, 'max_depth': 10}",3,0.8,0.921568627451,0.541984732824,0.8,0.0634920634921
RF_paramset-2,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_features': 'sqrt', 'n_estimators': 10, 'max_depth': 10}",3,0.9,0.921568627451,0.519083969466,0.0,0.0
RF_paramset-3,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_features': 'sqrt', 'n_estimators': 100, 'max_depth': 10}",1,0.5,0.922780797101,0.902255639098,0.859154929577,0.953125
RF_paramset-3,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_features': 'sqrt', 'n_estimators': 100, 'max_depth': 10}",1,0.6,0.922780797101,0.87969924812,0.863636363636,0.890625
RF_paramset-3,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_features': 'sqrt', 'n_estimators': 100, 'max_depth': 10}",1,0.7,0.922780797101,0.796992481203,0.849056603774,0.703125
RF_paramset-3,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_features': 'sqrt', 'n_estimators': 100, 'max_depth': 10}",1,0.8,0.922780797101,0.616541353383,0.882352941176,0.234375
RF_paramset-3,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_features': 'sqrt', 'n_estimators': 100, 'max_depth': 10}",1,0.9,0.922780797101,0.518796992481,0.0,0.0
RF_paramset-3,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_features': 'sqrt', 'n_estimators': 100, 'max_depth': 10}",2,0.5,0.911458333333,0.87969924812,0.833333333333,0.9375
RF_paramset-3,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_features': 'sqrt', 'n_estimators': 100, 'max_depth': 10}",2,0.6,0.911458333333,0.872180451128,0.861538461538,0.875
RF_paramset-3,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_features': 'sqrt', 'n_estimators': 100, 'max_depth': 10}",2,0.7,0.911458333333,0.804511278195,0.865384615385,0.703125
RF_paramset-3,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_features': 'sqrt', 'n_estimators': 100, 'max_depth': 10}",2,0.8,0.911458333333,0.669172932331,0.857142857143,0.375
RF_paramset-3,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_features': 'sqrt', 'n_estimators': 100, 'max_depth': 10}",2,0.9,0.911458333333,0.586466165414,1.0,0.140625
RF_paramset-3,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_features': 'sqrt', 'n_estimators': 100, 'max_depth': 10}",3,0.5,0.943977591036,0.87786259542,0.885245901639,0.857142857143
RF_paramset-3,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_features': 'sqrt', 'n_estimators': 100, 'max_depth': 10}",3,0.6,0.943977591036,0.885496183206,0.913793103448,0.84126984127
RF_paramset-3,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_features': 'sqrt', 'n_estimators': 100, 'max_depth': 10}",3,0.7,0.943977591036,0.770992366412,0.945945945946,0.555555555556
RF_paramset-3,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_features': 'sqrt', 'n_estimators': 100, 'max_depth': 10}",3,0.8,0.943977591036,0.702290076336,0.961538461538,0.396825396825
RF_paramset-3,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_features': 'sqrt', 'n_estimators': 100, 'max_depth': 10}",3,0.9,0.943977591036,0.564885496183,1.0,0.0952380952381
RF_paramset-4,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_features': 'sqrt', 'n_estimators': 1000, 'max_depth': 10}",1,0.5,0.939085144928,0.902255639098,0.859154929577,0.953125
RF_paramset-4,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_features': 'sqrt', 'n_estimators': 1000, 'max_depth': 10}",1,0.6,0.939085144928,0.887218045113,0.865671641791,0.90625
RF_paramset-4,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_features': 'sqrt', 'n_estimators': 1000, 'max_depth': 10}",1,0.7,0.939085144928,0.827067669173,0.872727272727,0.75
RF_paramset-4,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_features': 'sqrt', 'n_estimators': 1000, 'max_depth': 10}",1,0.8,0.939085144928,0.669172932331,0.916666666667,0.34375
RF_paramset-4,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_features': 'sqrt', 'n_estimators': 1000, 'max_depth': 10}",1,0.9,0.939085144928,0.518796992481,0.0,0.0
RF_paramset-4,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_features': 'sqrt', 'n_estimators': 1000, 'max_depth': 10}",2,0.5,0.908967391304,0.864661654135,0.828571428571,0.90625
RF_paramset-4,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_features': 'sqrt', 'n_estimators': 1000, 'max_depth': 10}",2,0.6,0.908967391304,0.834586466165,0.828125,0.828125
RF_paramset-4,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_features': 'sqrt', 'n_estimators': 1000, 'max_depth': 10}",2,0.7,0.908967391304,0.759398496241,0.847826086957,0.609375
RF_paramset-4,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_features': 'sqrt', 'n_estimators': 1000, 'max_depth': 10}",2,0.8,0.908967391304,0.639097744361,0.833333333333,0.3125
RF_paramset-4,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_features': 'sqrt', 'n_estimators': 1000, 'max_depth': 10}",2,0.9,0.908967391304,0.578947368421,1.0,0.125
RF_paramset-4,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_features': 'sqrt', 'n_estimators': 1000, 'max_depth': 10}",3,0.5,0.946078431373,0.870229007634,0.859375,0.873015873016
RF_paramset-4,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_features': 'sqrt', 'n_estimators': 1000, 'max_depth': 10}",3,0.6,0.946078431373,0.885496183206,0.913793103448,0.84126984127
RF_paramset-4,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_features': 'sqrt', 'n_estimators': 1000, 'max_depth': 10}",3,0.7,0.946078431373,0.832061068702,0.936170212766,0.698412698413
