model_id,model_type,params,split,feature,score,rank
RF_paramset-2,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 10, 'max_features': 'sqrt'}",1,cyli_4,0.0958483811476,2
RF_paramset-2,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 10, 'max_features': 'sqrt'}",1,horsepower,0.0617086594386,3
RF_paramset-2,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 10, 'max_features': 'sqrt'}",1,cyli_8,0.0477720941517,4
RF_paramset-2,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 10, 'max_features': 'sqrt'}",1,year_73,0.047288776616,5
RF_paramset-2,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 10, 'max_features': 'sqrt'}",1,cyli_6,0.0325043598318,6
RF_paramset-2,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 10, 'max_features': 'sqrt'}",1,weight,0.0320557279043,7
RF_paramset-2,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 10, 'max_features': 'sqrt'}",1,orig_1,0.0286329081369,8
RF_paramset-2,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 10, 'max_features': 'sqrt'}",1,year_75,0.0271111201192,9
RF_paramset-2,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 10, 'max_features': 'sqrt'}",1,year_82,0.0241365860819,10
RF_paramset-2,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 10, 'max_features': 'sqrt'}",2,cyli_4,0.227285431333,1
RF_paramset-2,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 10, 'max_features': 'sqrt'}",2,weight,0.127271920644,2
RF_paramset-2,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 10, 'max_features': 'sqrt'}",2,displacement,0.0804310551944,3
RF_paramset-2,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 10, 'max_features': 'sqrt'}",2,horsepower,0.0694565096899,4
RF_paramset-2,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 10, 'max_features': 'sqrt'}",2,orig_3,0.0507199092132,5
RF_paramset-2,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 10, 'max_features': 'sqrt'}",2,cyli_8,0.040194801559,6
RF_paramset-2,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 10, 'max_features': 'sqrt'}",2,orig_1,0.0369971344308,7
RF_paramset-2,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 10, 'max_features': 'sqrt'}",2,acceleration,0.0339362957909,8
RF_paramset-2,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 10, 'max_features': 'sqrt'}",2,cyli_6,0.0290729668891,9
RF_paramset-2,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 10, 'max_features': 'sqrt'}",2,orig_2,0.0281230593237,10
RF_paramset-2,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 10, 'max_features': 'sqrt'}",3,cyli_4,0.0903006889378,1
RF_paramset-2,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 10, 'max_features': 'sqrt'}",3,cyli_6,0.0765660945307,2
RF_paramset-2,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 10, 'max_features': 'sqrt'}",3,orig_1,0.0765120063634,3
RF_paramset-2,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 10, 'max_features': 'sqrt'}",3,weight,0.0676347983812,4
RF_paramset-2,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 10, 'max_features': 'sqrt'}",3,cyli_8,0.0519712628645,5
RF_paramset-2,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 10, 'max_features': 'sqrt'}",3,horsepower,0.050836985667,6
RF_paramset-2,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 10, 'max_features': 'sqrt'}",3,make_fiat,0.0355411677983,7
RF_paramset-2,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 10, 'max_features': 'sqrt'}",3,make_amc,0.0235379965624,8
RF_paramset-2,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 10, 'max_features': 'sqrt'}",3,displacement,0.0220332094178,9
RF_paramset-2,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 10, 'max_features': 'sqrt'}",3,make_datsun,0.0184812143861,10
RF_paramset-3,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 100, 'max_features': 'sqrt'}",1,displacement,0.204627462439,1
RF_paramset-3,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 100, 'max_features': 'sqrt'}",1,horsepower,0.111066994692,2
RF_paramset-3,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 100, 'max_features': 'sqrt'}",1,weight,0.0929484204199,3
RF_paramset-3,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 100, 'max_features': 'sqrt'}",1,cyli_4,0.0812215974103,4
RF_paramset-3,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 100, 'max_features': 'sqrt'}",1,cyli_8,0.0440795435074,5
RF_paramset-3,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 100, 'max_features': 'sqrt'}",1,acceleration,0.0319673123184,6
RF_paramset-3,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 100, 'max_features': 'sqrt'}",1,cyli_6,0.0279941766311,7
RF_paramset-3,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 100, 'max_features': 'sqrt'}",1,year_73,0.0262754793894,8
RF_paramset-3,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 100, 'max_features': 'sqrt'}",1,year_80,0.0217851993369,9
RF_paramset-3,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 100, 'max_features': 'sqrt'}",1,orig_3,0.0208531949648,10
RF_paramset-3,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 100, 'max_features': 'sqrt'}",2,displacement,0.125728489598,1
RF_paramset-3,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 100, 'max_features': 'sqrt'}",2,weight,0.116903877339,2
RF_paramset-3,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 100, 'max_features': 'sqrt'}",2,cyli_4,0.101212953601,3
RF_paramset-3,RF,"{'min_samples_split': 2, 'random_state': 1, 'max_depth': 10, 'n_estimators': 100, 'max_features': 'sqrt'}",2,horsepower,0.099863944389,4
