model_id,model_type,params,threshold,C,random_state,penalty,roc_auc_avg,roc_auc_std,accuracy_avg,accuracy_std,precision_avg,precision_std,recall_avg,recall_std
LR_paramset-5,LR,"{'C': 0.001, 'random_state': 1, 'penalty': 'l1'}",0.9,0.001,1,l1,0.879216692716,0.0358763962701,0.516348122214,0.00346322554447,0.0,0.0,0.0,0.0
LR_paramset-6,LR,"{'C': 0.001, 'random_state': 1, 'penalty': 'l2'}",0.5,0.001,1,l2,0.889102863368,0.0326198865683,0.873883181236,0.0286352736396,0.827364229661,0.0177839166969,0.931630291005,0.0456512424324
LR_paramset-6,LR,"{'C': 0.001, 'random_state': 1, 'penalty': 'l2'}",0.6,0.001,1,l2,0.889102863368,0.0326198865683,0.843654938874,0.036852761526,0.816689123825,0.0219071222555,0.868799603175,0.0612423461392
LR_paramset-6,LR,"{'C': 0.001, 'random_state': 1, 'penalty': 'l2'}",0.7,0.001,1,l2,0.889102863368,0.0326198865683,0.823528286365,0.03467430481,0.856974710788,0.0293258426233,0.758928571429,0.0496118543993
LR_paramset-6,LR,"{'C': 0.001, 'random_state': 1, 'penalty': 'l2'}",0.8,0.001,1,l2,0.889102863368,0.0326198865683,0.644971206643,0.0414183608327,0.778499639069,0.0679412881084,0.361689814815,0.081975989168
LR_paramset-6,LR,"{'C': 0.001, 'random_state': 1, 'penalty': 'l2'}",0.9,0.001,1,l2,0.889102863368,0.0326198865683,0.51384185655,0.00350451528701,0.3,0.216024689947,0.0157903439153,0.0129607905331
LR_paramset-7,LR,"{'C': 0.01, 'random_state': 1, 'penalty': 'l1'}",0.5,0.01,1,l1,0.884731610035,0.0372051980657,0.873921444833,0.0224577821675,0.827609026537,0.0159166244277,0.931712962963,0.03285895733
LR_paramset-7,LR,"{'C': 0.01, 'random_state': 1, 'penalty': 'l1'}",0.6,0.01,1,l1,0.884731610035,0.0372051980657,0.841110409612,0.0352861850505,0.822301691867,0.0252439485737,0.853091931217,0.0527624584505
LR_paramset-7,LR,"{'C': 0.01, 'random_state': 1, 'penalty': 'l1'}",0.7,0.01,1,l1,0.884731610035,0.0372051980657,0.80590789952,0.0362540674568,0.851933197521,0.0435248331201,0.722470238095,0.0450256406857
LR_paramset-7,LR,"{'C': 0.01, 'random_state': 1, 'penalty': 'l1'}",0.8,0.01,1,l1,0.884731610035,0.0372051980657,0.614589909889,0.0186228384707,0.763636363636,0.0715818897637,0.293402777778,0.0341091713618
LR_paramset-7,LR,"{'C': 0.01, 'random_state': 1, 'penalty': 'l1'}",0.9,0.01,1,l1,0.884731610035,0.0372051980657,0.516309858616,0.0093520256872,0.444444444444,0.415739709642,0.0157903439153,0.0129607905331
LR_paramset-8,LR,"{'C': 0.01, 'random_state': 1, 'penalty': 'l2'}",0.5,0.01,1,l2,0.917572252331,0.016746225161,0.866364384243,0.0309620489772,0.82502957503,0.0193129068851,0.915922619048,0.0523906748282
LR_paramset-8,LR,"{'C': 0.01, 'random_state': 1, 'penalty': 'l2'}",0.6,0.01,1,l2,0.917572252331,0.016746225161,0.848743997398,0.0378908261003,0.835076348996,0.0109836522591,0.853091931217,0.0817931966715
LR_paramset-8,LR,"{'C': 0.01, 'random_state': 1, 'penalty': 'l2'}",0.7,0.01,1,l2,0.917572252331,0.016746225161,0.813426696512,0.0369963781158,0.850569372975,0.00255435803487,0.742972883598,0.0957706013574
LR_paramset-8,LR,"{'C': 0.01, 'random_state': 1, 'penalty': 'l2'}",0.8,0.01,1,l2,0.917572252331,0.016746225161,0.755591268247,0.0354199927799,0.881511731512,0.0231756768373,0.570353835979,0.093939283711
LR_paramset-8,LR,"{'C': 0.01, 'random_state': 1, 'penalty': 'l2'}",0.9,0.01,1,l2,0.917572252331,0.016746225161,0.616828330368,0.0521237006009,0.888227513228,0.0790392340949,0.224537037037,0.10247795252
LR_paramset-9,LR,"{'C': 0.1, 'random_state': 1, 'penalty': 'l1'}",0.5,0.1,1,l1,0.920002934749,0.0138165730877,0.858769060055,0.0324245670126,0.825366927593,0.0169495778376,0.894923941799,0.0586025815281
LR_paramset-9,LR,"{'C': 0.1, 'random_state': 1, 'penalty': 'l1'}",0.6,0.1,1,l1,0.920002934749,0.0138165730877,0.843693202472,0.0469947708779,0.840702726187,0.0243670683833,0.832010582011,0.0977525197534
LR_paramset-9,LR,"{'C': 0.1, 'random_state': 1, 'penalty': 'l1'}",0.7,0.1,1,l1,0.920002934749,0.0138165730877,0.828579081291,0.0361679461498,0.870647604377,0.017017743241,0.758680555556,0.105403536366
LR_paramset-9,LR,"{'C': 0.1, 'random_state': 1, 'penalty': 'l1'}",0.8,0.1,1,l1,0.920002934749,0.0138165730877,0.775679657158,0.0363697058215,0.884788189987,0.0237601179465,0.617311507937,0.106056296947
LR_paramset-9,LR,"{'C': 0.1, 'random_state': 1, 'penalty': 'l1'}",0.9,0.1,1,l1,0.920002934749,0.0138165730877,0.652069104058,0.0585057043942,0.91553030303,0.0159720974563,0.30291005291,0.127488414936
LR_paramset-10,LR,"{'C': 0.1, 'random_state': 1, 'penalty': 'l2'}",0.5,0.1,1,l2,0.924874660009,0.00924532303313,0.869023704299,0.015371325977,0.846522525412,0.0193938176476,0.889880952381,0.034451895544
LR_paramset-10,LR,"{'C': 0.1, 'random_state': 1, 'penalty': 'l2'}",0.6,0.1,1,l2,0.924874660009,0.00924532303313,0.853794792324,0.0289687531464,0.85183388579,0.00933645099978,0.842592592593,0.0685904277316
LR_paramset-10,LR,"{'C': 0.1, 'random_state': 1, 'penalty': 'l2'}",0.7,0.1,1,l2,0.924874660009,0.00924532303313,0.826034552029,0.0334596294062,0.85955693232,0.00701998968833,0.763971560847,0.090769367115
LR_paramset-10,LR,"{'C': 0.1, 'random_state': 1, 'penalty': 'l2'}",0.8,0.1,1,l2,0.924874660009,0.00924532303313,0.773135127896,0.0337180683388,0.887512487512,0.0207787404847,0.606812169312,0.086558447727
LR_paramset-10,LR,"{'C': 0.1, 'random_state': 1, 'penalty': 'l2'}",0.9,0.1,1,l2,0.924874660009,0.00924532303313,0.649715892785,0.0308951838658,0.907631874299,0.0312561582193,0.303240740741,0.0688973433557
LR_paramset-11,LR,"{'C': 1, 'random_state': 1, 'penalty': 'l1'}",0.5,1,1,l1,0.911943581781,0.0108732553034,0.838833725535,0.013668622689,0.829671185912,0.0183526322861,0.837962962963,0.0382032116762
LR_paramset-11,LR,"{'C': 1, 'random_state': 1, 'penalty': 'l1'}",0.6,1,1,l1,0.911943581781,0.0108732553034,0.831353192141,0.0248571476387,0.836784584412,0.0116476764971,0.806630291005,0.0567518753312
LR_paramset-11,LR,"{'C': 1, 'random_state': 1, 'penalty': 'l1'}",0.7,1,1,l1,0.911943581781,0.0108732553034,0.821442920278,0.0522652665469,0.846447467876,0.0232792575613,0.764963624339,0.103735947609
LR_paramset-11,LR,"{'C': 1, 'random_state': 1, 'penalty': 'l1'}",0.8,1,1,l1,0.911943581781,0.0108732553034,0.79372094358,0.0421433884869,0.870730994152,0.00764059202033,0.67080026455,0.100748662109
LR_paramset-11,LR,"{'C': 1, 'random_state': 1, 'penalty': 'l1'}",0.9,1,1,l1,0.911943581781,0.0108732553034,0.715644072012,0.0420388883146,0.882374731212,0.00256243957909,0.471891534392,0.100411482533
LR_paramset-12,LR,"{'C': 1, 'random_state': 1, 'penalty': 'l2'}",0.5,1,1,l2,0.917269262778,0.0137096284775,0.856415848782,0.0184458919979,0.834818775995,0.0142292691798,0.874338624339,0.0255326556041
LR_paramset-12,LR,"{'C': 1, 'random_state': 1, 'penalty': 'l2'}",0.6,1,1,l2,0.917269262778,0.0137096284775,0.851518108248,0.028437589899,0.850669732026,0.0174222083864,0.837880291005,0.0510986268483
