model_id,model_type,params,threshold,subsample,learning_rate,random_state,max_depth,n_estimators,roc_auc_avg,roc_auc_std,accuracy_avg,accuracy_std,precision_avg,precision_std,recall_avg,recall_std
GB_paramset-5,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 10}",0.5,0.5,0.001,1,1,10,0.932588841696,0.0147483896187,0.518892651476,0.000135282247831,0.0,0.0,0.0,0.0
GB_paramset-5,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 10}",0.6,0.5,0.001,1,1,10,0.932588841696,0.0147483896187,0.518892651476,0.000135282247831,0.0,0.0,0.0,0.0
GB_paramset-5,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 10}",0.7,0.5,0.001,1,1,10,0.932588841696,0.0147483896187,0.518892651476,0.000135282247831,0.0,0.0,0.0,0.0
GB_paramset-5,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 10}",0.8,0.5,0.001,1,1,10,0.932588841696,0.0147483896187,0.518892651476,0.000135282247831,0.0,0.0,0.0,0.0
GB_paramset-5,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 10}",0.9,0.5,0.001,1,1,10,0.932588841696,0.0147483896187,0.518892651476,0.000135282247831,0.0,0.0,0.0,0.0
GB_paramset-6,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 10}",0.5,1.0,0.001,1,1,10,0.89483598391,0.0126433456753,0.518892651476,0.000135282247831,0.0,0.0,0.0,0.0
GB_paramset-6,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 10}",0.6,1.0,0.001,1,1,10,0.89483598391,0.0126433456753,0.518892651476,0.000135282247831,0.0,0.0,0.0,0.0
GB_paramset-6,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 10}",0.7,1.0,0.001,1,1,10,0.89483598391,0.0126433456753,0.518892651476,0.000135282247831,0.0,0.0,0.0,0.0
GB_paramset-6,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 10}",0.8,1.0,0.001,1,1,10,0.89483598391,0.0126433456753,0.518892651476,0.000135282247831,0.0,0.0,0.0,0.0
GB_paramset-6,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 10}",0.9,1.0,0.001,1,1,10,0.89483598391,0.0126433456753,0.518892651476,0.000135282247831,0.0,0.0,0.0,0.0
GB_paramset-7,GB,"{'subsample': 0.1, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 100}",0.5,0.1,0.001,1,1,100,0.950378641795,0.0106078194863,0.858883850848,0.0558525797543,0.900488452601,0.0584777340514,0.800512566138,0.13027521483
GB_paramset-7,GB,"{'subsample': 0.1, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 100}",0.6,0.1,0.001,1,1,100,0.950378641795,0.0106078194863,0.518892651476,0.000135282247831,0.0,0.0,0.0,0.0
GB_paramset-7,GB,"{'subsample': 0.1, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 100}",0.7,0.1,0.001,1,1,100,0.950378641795,0.0106078194863,0.518892651476,0.000135282247831,0.0,0.0,0.0,0.0
GB_paramset-7,GB,"{'subsample': 0.1, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 100}",0.8,0.1,0.001,1,1,100,0.950378641795,0.0106078194863,0.518892651476,0.000135282247831,0.0,0.0,0.0,0.0
GB_paramset-7,GB,"{'subsample': 0.1, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 100}",0.9,0.1,0.001,1,1,100,0.950378641795,0.0106078194863,0.518892651476,0.000135282247831,0.0,0.0,0.0,0.0
GB_paramset-8,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 100}",0.5,0.5,0.001,1,1,100,0.943445826398,0.0150687157194,0.886644091144,0.0245696995084,0.869722514928,0.0224886376213,0.900297619048,0.0594586697143
