model_id,model_type,params,split,threshold,roc_auc,accuracy,precision,recall
GB_paramset-2,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 1, 'max_depth': 1}",3,0.8,0.884453781513,0.519083969466,0.0,0.0
GB_paramset-2,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 1, 'max_depth': 1}",3,0.9,0.884453781513,0.519083969466,0.0,0.0
GB_paramset-3,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 1, 'max_depth': 1}",1,0.5,0.912477355072,0.518796992481,0.0,0.0
GB_paramset-3,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 1, 'max_depth': 1}",1,0.6,0.912477355072,0.518796992481,0.0,0.0
GB_paramset-3,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 1, 'max_depth': 1}",1,0.7,0.912477355072,0.518796992481,0.0,0.0
GB_paramset-3,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 1, 'max_depth': 1}",1,0.8,0.912477355072,0.518796992481,0.0,0.0
GB_paramset-3,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 1, 'max_depth': 1}",1,0.9,0.912477355072,0.518796992481,0.0,0.0
GB_paramset-3,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 1, 'max_depth': 1}",2,0.5,0.883491847826,0.518796992481,0.0,0.0
GB_paramset-3,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 1, 'max_depth': 1}",2,0.6,0.883491847826,0.518796992481,0.0,0.0
GB_paramset-3,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 1, 'max_depth': 1}",2,0.7,0.883491847826,0.518796992481,0.0,0.0
GB_paramset-3,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 1, 'max_depth': 1}",2,0.8,0.883491847826,0.518796992481,0.0,0.0
GB_paramset-3,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 1, 'max_depth': 1}",2,0.9,0.883491847826,0.518796992481,0.0,0.0
GB_paramset-3,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 1, 'max_depth': 1}",3,0.5,0.888538748833,0.519083969466,0.0,0.0
GB_paramset-3,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 1, 'max_depth': 1}",3,0.6,0.888538748833,0.519083969466,0.0,0.0
GB_paramset-3,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 1, 'max_depth': 1}",3,0.7,0.888538748833,0.519083969466,0.0,0.0
GB_paramset-3,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 1, 'max_depth': 1}",3,0.8,0.888538748833,0.519083969466,0.0,0.0
GB_paramset-3,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 1, 'max_depth': 1}",3,0.9,0.888538748833,0.519083969466,0.0,0.0
GB_paramset-4,GB,"{'subsample': 0.1, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 10, 'max_depth': 1}",1,0.5,0.935235507246,0.518796992481,0.0,0.0
GB_paramset-4,GB,"{'subsample': 0.1, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 10, 'max_depth': 1}",1,0.6,0.935235507246,0.518796992481,0.0,0.0
GB_paramset-4,GB,"{'subsample': 0.1, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 10, 'max_depth': 1}",1,0.7,0.935235507246,0.518796992481,0.0,0.0
GB_paramset-4,GB,"{'subsample': 0.1, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 10, 'max_depth': 1}",1,0.8,0.935235507246,0.518796992481,0.0,0.0
GB_paramset-4,GB,"{'subsample': 0.1, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 10, 'max_depth': 1}",1,0.9,0.935235507246,0.518796992481,0.0,0.0
GB_paramset-4,GB,"{'subsample': 0.1, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 10, 'max_depth': 1}",2,0.5,0.923460144928,0.518796992481,0.0,0.0
GB_paramset-4,GB,"{'subsample': 0.1, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 10, 'max_depth': 1}",2,0.6,0.923460144928,0.518796992481,0.0,0.0
GB_paramset-4,GB,"{'subsample': 0.1, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 10, 'max_depth': 1}",2,0.7,0.923460144928,0.518796992481,0.0,0.0
GB_paramset-4,GB,"{'subsample': 0.1, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 10, 'max_depth': 1}",2,0.8,0.923460144928,0.518796992481,0.0,0.0
GB_paramset-4,GB,"{'subsample': 0.1, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 10, 'max_depth': 1}",2,0.9,0.923460144928,0.518796992481,0.0,0.0
GB_paramset-4,GB,"{'subsample': 0.1, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 10, 'max_depth': 1}",3,0.5,0.952380952381,0.519083969466,0.0,0.0
GB_paramset-4,GB,"{'subsample': 0.1, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 10, 'max_depth': 1}",3,0.6,0.952380952381,0.519083969466,0.0,0.0
GB_paramset-4,GB,"{'subsample': 0.1, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 10, 'max_depth': 1}",3,0.7,0.952380952381,0.519083969466,0.0,0.0
GB_paramset-4,GB,"{'subsample': 0.1, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 10, 'max_depth': 1}",3,0.8,0.952380952381,0.519083969466,0.0,0.0
GB_paramset-4,GB,"{'subsample': 0.1, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 10, 'max_depth': 1}",3,0.9,0.952380952381,0.519083969466,0.0,0.0
GB_paramset-5,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 10, 'max_depth': 1}",1,0.5,0.933310688406,0.518796992481,0.0,0.0
GB_paramset-5,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 10, 'max_depth': 1}",1,0.6,0.933310688406,0.518796992481,0.0,0.0
GB_paramset-5,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 10, 'max_depth': 1}",1,0.7,0.933310688406,0.518796992481,0.0,0.0
GB_paramset-5,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 10, 'max_depth': 1}",1,0.8,0.933310688406,0.518796992481,0.0,0.0
GB_paramset-5,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 10, 'max_depth': 1}",1,0.9,0.933310688406,0.518796992481,0.0,0.0
GB_paramset-5,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 10, 'max_depth': 1}",2,0.5,0.914175724638,0.518796992481,0.0,0.0
GB_paramset-5,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 10, 'max_depth': 1}",2,0.6,0.914175724638,0.518796992481,0.0,0.0
GB_paramset-5,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 10, 'max_depth': 1}",2,0.7,0.914175724638,0.518796992481,0.0,0.0
GB_paramset-5,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 10, 'max_depth': 1}",2,0.8,0.914175724638,0.518796992481,0.0,0.0
GB_paramset-5,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 10, 'max_depth': 1}",2,0.9,0.914175724638,0.518796992481,0.0,0.0
GB_paramset-5,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 10, 'max_depth': 1}",3,0.5,0.950280112045,0.519083969466,0.0,0.0
GB_paramset-5,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 10, 'max_depth': 1}",3,0.6,0.950280112045,0.519083969466,0.0,0.0
GB_paramset-5,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 10, 'max_depth': 1}",3,0.7,0.950280112045,0.519083969466,0.0,0.0
GB_paramset-5,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 10, 'max_depth': 1}",3,0.8,0.950280112045,0.519083969466,0.0,0.0
GB_paramset-5,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 10, 'max_depth': 1}",3,0.9,0.950280112045,0.519083969466,0.0,0.0
GB_paramset-6,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 10, 'max_depth': 1}",1,0.5,0.912477355072,0.518796992481,0.0,0.0
GB_paramset-6,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 10, 'max_depth': 1}",1,0.6,0.912477355072,0.518796992481,0.0,0.0
GB_paramset-6,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 10, 'max_depth': 1}",1,0.7,0.912477355072,0.518796992481,0.0,0.0
GB_paramset-6,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 10, 'max_depth': 1}",1,0.8,0.912477355072,0.518796992481,0.0,0.0
GB_paramset-6,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 10, 'max_depth': 1}",1,0.9,0.912477355072,0.518796992481,0.0,0.0
GB_paramset-6,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 10, 'max_depth': 1}",2,0.5,0.883491847826,0.518796992481,0.0,0.0
GB_paramset-6,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 10, 'max_depth': 1}",2,0.6,0.883491847826,0.518796992481,0.0,0.0
GB_paramset-6,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 10, 'max_depth': 1}",2,0.7,0.883491847826,0.518796992481,0.0,0.0
GB_paramset-6,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 10, 'max_depth': 1}",2,0.8,0.883491847826,0.518796992481,0.0,0.0
GB_paramset-6,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'n_estimators': 10, 'max_depth': 1}",2,0.9,0.883491847826,0.518796992481,0.0,0.0
